BasicColurs,RGB,Red_c,Green_c,Blue_c,Red_p,Green_p,Blue_p
Black,"0,0,0",0,0,0,0.00,0.00,0.00
White,"255,255,255",255,255,255,1.00,1.00,1.00
Red,"255,0,0",255,0,0,1.00,0.00,0.00
Lime,"0,255,0",0,255,0,0.00,1.00,0.00
Blue,"0,0,255",0,0,5,0.00,0.00,0.02
Yellow,"255,255,0",255,255,50,1.00,1.00,0.20
Cyan / Aqua,"0,255,255",0,255,5,0.00,1.00,0.02
Magenta / Fuchsia,"255,0,255",255,0,255,1.00,0.00,1.00
Silver,"192,192,192",192,192,192,0.75,0.75,0.75
Gray,"128,128,128",128,128,128,0.50,0.50,0.50
Maroon,"128,0,0",128,0,0,0.50,0.00,0.00
Olive,"128,128,0",128,128,80,0.50,0.50,0.31
Green,"0,128,0",0,128,0,0.00,0.50,0.00
Purple,"128,0,128",128,0,128,0.50,0.00,0.50
Teal,"0,128,128",0,128,8,0.00,0.50,0.03
Navy,"0,0,128",0,0,8,0.00,0.00,0.03
